movie_id,title,director,top_cast
122917,The Hobbit: The Battle of the Five Armies,Peter Jackson,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish
1930,The Amazing Spider-Man,Marc Webb,Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott
20662,Robin Hood,Ridley Scott,Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong
57158,The Hobbit: The Desolation of Smaug,Peter Jackson,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish
2268,The Golden Compass,Chris Weitz,Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green
254,King Kong,Peter Jackson,Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks
597,Titanic,James Cameron,Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates
271110,Captain America: Civil War,Anthony Russo,Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie
44833,Battleship,Peter Berg,Taylor Kitsch Alexander Skarsgård Rihanna Brooklyn Decker Tadanobu Asano
135397,Jurassic World,Colin Trevorrow,Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson
37724,Skyfall,Sam Mendes,Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris
558,Spider-Man 2,Sam Raimi,Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris
68721,Iron Man 3,Shane Black,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca Hall
12155,Alice in Wonderland,Tim Burton,Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin Glover
36668,X-Men: The Last Stand,Brett Ratner,Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke Janssen
62211,Monsters University,Dan Scanlon,Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah Johnston
8373,Transformers: Revenge of the Fallen,Michael Bay,Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese Gibson
91314,Transformers: Age of Extinction,Michael Bay,Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor
68728,Oz: The Great and Powerful,Sam Raimi,James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff
102382,The Amazing Spider-Man 2,Marc Webb,Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell Scott
20526,TRON: Legacy,Joseph Kosinski,Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCosta
49013,Cars 2,John Lasseter,Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro
44912,Green Lantern,Martin Campbell,Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong
10193,Toy Story 3,Lee Unkrich,Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael Keaton
534,Terminator Salvation,McG,Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas Howard
168259,Furious 7,James Wan,Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson
72190,World War Z,Marc Forster,Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale
127585,X-Men: Days of Future Past,Bryan Singer,Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry
54138,Star Trek Into Darkness,J.J. Abrams,Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon Pegg
81005,Jack the Giant Slayer,Bryan Singer,Nicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShane
64682,The Great Gatsby,Baz Luhrmann,Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth Debicki
9543,Prince of Persia: The Sands of Time,Mike Newell,Jake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve Toussaint
68726,Pacific Rim,Guillermo del Toro,Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman
38356,Transformers: Dark of the Moon,Michael Bay,Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh Duhamel
217,Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen Allen
105864,The Good Dinosaur,Peter Sohn,Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla
62177,Brave,Brenda Chapman,Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd
188927,Star Trek Beyond,Justin Lin,Chris Pine Zachary Quinto Karl Urban Simon Pegg Zoe Saldana
10681,WALL·E,Andrew Stanton,Ben Burtt Elissa Knight Jeff Garlin Fred Willard John Ratzenberger
5174,Rush Hour 3,Brett Ratner,Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan Attal
14161,2012,Roland Emmerich,John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt
17979,A Christmas Carol,Robert Zemeckis,Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan
76757,Jupiter Ascending,Lilly Wachowski,Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth
258489,The Legend of Tarzan,David Yates,Alexander Skarsgård Margot Robbie Christoph Waltz Samuel L. Jackson Djimon Hounsou
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson,William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam Neeson
246655,X-Men: Apocalypse,Bryan Singer,James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac
155,The Dark Knight,Christopher Nolan,Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal
14160,Up,Pete Docter,Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy Lindo
15512,Monsters vs Aliens,Conrad Vernon,Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer Sutherland
1726,Iron Man,Jon Favreau,Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow
44826,Hugo,Martin Scorsese,Ben Kingsley Sacha Baron Cohen Asa Butterfield Chloë Grace Moretz Ray Winstone
8487,Wild Wild West,Barry Sonnenfeld,Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh
1735,The Mummy: Tomb of the Dragon Emperor,Rob Cohen,Brendan Fraser Jet Li John Hannah Maria Bello Luke Ford
297761,Suicide Squad,David Ayer,Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared Leto
2698,Evan Almighty,Tom Shadyac,Steve Carell Lauren Graham John Goodman Jimmy Bennett John Michael Higgins
137113,Edge of Tomorrow,Doug Liman,Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong
9804,Waterworld,Kevin Reynolds,Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann
14869,G.I. Joe: The Rise of Cobra,Stephen Sommers,Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt
150540,Inside Out,Pete Docter,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black
278927,The Jungle Book,Jon Favreau,Neel Sethi Bill Murray Ben Kingsley Idris Elba Scarlett Johansson
10138,Iron Man 2,Jon Favreau,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Scarlett Johansson Mickey Rourke
58595,Snow White and the Huntsman,Rupert Sanders,Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShane
102651,Maleficent,Robert Stromberg,Angelina Jolie Elle Fanning Sharlto Copley Sam Riley Juno Temple
119450,Dawn of the Planet of the Apes,Matt Reeves,Andy Serkis Jason Clarke Gary Oldman Keri Russell Toby Kebbell
79698,The Lovers,Roland Joffé,Josh Hartnett Simone Kessell Tamsin Egerton Alice Englert Bipasha Basu
64686,47 Ronin,Carl Rinsch,Keanu Reeves Hiroyuki Sanada Kou Shibasaki Tadanobu Asano Min Tanaka
100402,Captain America: The Winter Soldier,Anthony Russo,Chris Evans Samuel L. Jackson Scarlett Johansson Robert Redford Sebastian Stan
10192,Shrek Forever After,Mike Mitchell,Mike Myers Eddie Murphy Cameron Diaz Antonio Banderas Julie Andrews
158852,Tomorrowland,Brad Bird,Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie
177572,Big Hero 6,Chris Williams,Scott Adsit Ryan Potter Daniel Henney T.J. Miller Jamie Chung
82690,Wreck-It Ralph,Rich Moore,John C. Reilly Sarah Silverman Jack McBrayer Jane Lynch Alan Tudyk
5255,The Polar Express,Robert Zemeckis,Tom Hanks Michael Jeter Nona Gaye Peter Scolari Eddie Deezen
47933,Independence Day: Resurgence,Roland Emmerich,Liam Hemsworth Jeff Goldblum Bill Pullman Maika Monroe Sela Ward
10191,How to Train Your Dragon,Chris Sanders,Jay Baruchel Gerard Butler Craig Ferguson America Ferrera Jonah Hill
296,Terminator 3: Rise of the Machines,Jonathan Mostow,Arnold Schwarzenegger Nick Stahl Claire Danes Kristanna Loken David Andrews
118340,Guardians of the Galaxy,James Gunn,Chris Pratt Zoe Saldana Dave Bautista Vin Diesel Bradley Cooper
157336,Interstellar,Christopher Nolan,Matthew McConaughey Jessica Chastain Anne Hathaway Michael Caine Casey Affleck
27205,Inception,Christopher Nolan,Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page Tom Hardy Ken Watanabe
315011,Shin Godzilla,Hideaki Anno,Hiroki Hasegawa Yutaka Takenouchi Satomi Ishihara Kengo Kora Matsuo Satoru
49051,The Hobbit: An Unexpected Journey,Peter Jackson,Ian McKellen Martin Freeman Richard Armitage Andy Serkis Cate Blanchett
9799,The Fast and the Furious,Rob Cohen,Paul Walker Vin Diesel Michelle Rodriguez Jordana Brewster Rick Yune
4922,The Curious Case of Benjamin Button,David Fincher,Cate Blanchett Brad Pitt Tilda Swinton Julia Ormond Elle Fanning
49538,X-Men: First Class,Matthew Vaughn,James McAvoy Michael Fassbender Jennifer Lawrence Kevin Bacon Rose Byrne
131634,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks
27022,The Sorcerer's Apprentice,Jon Turteltaub,Nicolas Cage Jay Baruchel Monica Bellucci Alfred Molina Teresa Palmer
503,Poseidon,Wolfgang Petersen,Kurt Russell Richard Dreyfuss Josh Lucas Jacinda Barrett Emmy Rossum
241259,Alice Through the Looking Glass,James Bobin,Johnny Depp Mia Wasikowska Anne Hathaway Helena Bonham Carter Alan Rickman
810,Shrek the Third,Chris Miller,Mike Myers Eddie Murphy Cameron Diaz Julie Andrews Antonio Banderas
68735,Warcraft,Duncan Jones,Paula Patton Travis Fimmel Ben Foster Robert Kazinsky Dominic Cooper
87101,Terminator Genisys,Alan Taylor,Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,Skandar Keynes Georgie Henley Simon Pegg Gary Sweet Arthur Angel
676,Pearl Harbor,Michael Bay,Ben Affleck Josh Hartnett Kate Beckinsale Cuba Gooding Jr. Jon Voight
1858,Transformers,Michael Bay,Shia LaBeouf Josh Duhamel Megan Fox Rachael Taylor Tyrese Gibson
1966,Alexander,Oliver Stone,Colin Farrell Angelina Jolie Val Kilmer Jared Leto Jonathan Rhys Meyers
675,Harry Potter and the Order of the Phoenix,David Yates,Daniel Radcliffe Rupert Grint Emma Watson Michael Gambon Ralph Fiennes
674,Harry Potter and the Goblet of Fire,Mike Newell,Daniel Radcliffe Rupert Grint Emma Watson Ralph Fiennes Michael Gambon
8960,Hancock,Peter Berg,Will Smith Charlize Theron Jason Bateman Jae Head Eddie Marsan
6479,I Am Legend,Francis Lawrence,Will Smith Alice Braga Charlie Tahan Salli Richardson-Whitfield Willow Smith
118,Charlie and the Chocolate Factory,Tim Burton,Johnny Depp Freddie Highmore David Kelly AnnaSophia Robb Julia Winter
2062,Ratatouille,Jan Pinkava,Patton Oswalt Ian Holm Lou Romano Brian Dennehy Peter Sohn
272,Batman Begins,Christopher Nolan,Christian Bale Michael Caine Liam Neeson Katie Holmes Gary Oldman
10527,Madagascar: Escape 2 Africa,Eric Darnell,Ben Stiller Jada Pinkett Smith David Schwimmer Chris Rock Cedric the Entertainer
18360,Night at the Museum: Battle of the Smithsonian,Shawn Levy,Ben Stiller Amy Adams Owen Wilson Hank Azaria Robin Williams
2080,X-Men Origins: Wolverine,Gavin Hood,Hugh Jackman Liev Schreiber Danny Huston Lynn Collins Ryan Reynolds
605,The Matrix Revolutions,Lilly Wachowski,Keanu Reeves Laurence Fishburne Carrie-Anne Moss Hugo Weaving Mary Alice
109445,Frozen,Chris Buck,Kristen Bell Idina Menzel Jonathan Groff Josh Gad Santino Fontana
604,The Matrix Reloaded,Lilly Wachowski,Keanu Reeves Carrie-Anne Moss Laurence Fishburne Hugo Weaving Helmut Bakaitis
76338,Thor: The Dark World,Alan Taylor,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Christopher Eccleston
76341,Mad Max: Fury Road,George Miller,Tom Hardy Charlize Theron Nicholas Hoult Hugh Keays-Byrne Josh Helman
13448,Angels & Demons,Ron Howard,Tom Hanks Ewan McGregor Ayelet Zurer Stellan Skarsgård Pierfrancesco Favino
10195,Thor,Kenneth Branagh,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Stellan Skarsgård
13053,Bolt,Chris Williams,John Travolta Miley Cyrus Susie Essman Mark Walton Malcolm McDowell
19585,G-Force,Hoyt Yeatman,Sam Rockwell Penélope Cruz Tracy Morgan Jon Favreau Steve Buscemi
57165,Wrath of the Titans,Jonathan Liebesman,Sam Worthington Liam Neeson Ralph Fiennes Edgar Ramírez Toby Kebbell
62213,Dark Shadows,Tim Burton,Johnny Depp Michelle Pfeiffer Helena Bonham Carter Jackie Earle Haley Jonny Lee Miller
177677,Mission: Impossible - Rogue Nation,Christopher McQuarrie,Tom Cruise Rebecca Ferguson Simon Pegg Jeremy Renner Ving Rhames
7978,The Wolfman,Joe Johnston,Benicio del Toro Anthony Hopkins Emily Blunt Hugo Weaving Cristina Contes
5559,Bee Movie,Steve Hickner,Jerry Seinfeld Renée Zellweger Jim Cummings Matthew Broderick Patrick Warburton
49444,Kung Fu Panda 2,Jennifer Yuh Nelson,Jack Black Angelina Jolie Dustin Hoffman Gary Oldman Jackie Chan
10196,The Last Airbender,M. Night Shyamalan,Noah Ringer Nicola Peltz Jackson Rathbone Dev Patel Shaun Toub
956,Mission: Impossible III,J.J. Abrams,Tom Cruise Philip Seymour Hoffman Ving Rhames Billy Crudup Jonathan Rhys Meyers
117251,White House Down,Roland Emmerich,Channing Tatum Jamie Foxx Joey King Maggie Gyllenhaal Richard Jenkins
50321,Mars Needs Moms,Simon Wells,Seth Green Joan Cusack Dan Fogler Breckin Meyer Elisabeth Harnois
11619,Flushed Away,David Bowers,Hugh Jackman Kate Winslet Ian McKellen Jean Reno Bill Nighy
266647,Pan,Joe Wright,Levi Miller Garrett Hedlund Hugh Jackman Rooney Mara Amanda Seyfried
82703,Mr. Peabody & Sherman,Rob Minkoff,Ty Burrell Max Charles Ariel Winter Allison Janney Ellie Kemper
652,Troy,Wolfgang Petersen,Brad Pitt Orlando Bloom Eric Bana Brian Cox Sean Bean
80321,Madagascar 3: Europe's Most Wanted,Conrad Vernon,Ben Stiller Sacha Baron Cohen David Schwimmer Frances McDormand Chris Rock
36669,Die Another Day,Lee Tamahori,Pierce Brosnan Halle Berry Rosamund Pike Rick Yune Toby Stephens
43074,Ghostbusters,Paul Feig,Melissa McCarthy Kristen Wiig Kate McKinnon Leslie Jones Chris Hemsworth
95,Armageddon,Michael Bay,Bruce Willis Billy Bob Thornton Ben Affleck Liv Tyler Will Patton
608,Men in Black II,Barry Sonnenfeld,Tommy Lee Jones Will Smith Rip Torn Lara Flynn Boyle Johnny Knoxville
2310,Beowulf,Robert Zemeckis,Ray Winstone Angelina Jolie Anthony Hopkins Robin Wright John Malkovich
140300,Kung Fu Panda 3,Jennifer Yuh Nelson,Jack Black Bryan Cranston Dustin Hoffman Angelina Jolie J.K. Simmons
56292,Mission: Impossible - Ghost Protocol,Brad Bird,Tom Cruise Jeremy Renner Simon Pegg Paula Patton Anil Kapoor
81188,Rise of the Guardians,Peter Ramsey,Chris Pine Alec Baldwin Jude Law Isla Fisher Hugh Jackman
7552,Fun with Dick and Jane,Dean Parisot,Jim Carrey Téa Leoni Alec Baldwin Richard Jenkins Angie Harmon
616,The Last Samurai,Edward Zwick,Tom Cruise Ken Watanabe William Atherton Chad Lindberg Billy Connolly
147441,Exodus: Gods and Kings,Ridley Scott,Christian Bale Joel Edgerton John Turturro Aaron Paul Ben Mendelsohn
13475,Star Trek,J.J. Abrams,Chris Pine Zachary Quinto Leonard Nimoy Eric Bana Bruce Greenwood
557,Spider-Man,Sam Raimi,Tobey Maguire Willem Dafoe Kirsten Dunst James Franco Cliff Robertson
82702,How to Train Your Dragon 2,Dean DeBlois,Jay Baruchel Gerard Butler Kristen Wiig Jonah Hill Cate Blanchett
205584,Gods of Egypt,Alex Proyas,Brenton Thwaites Nikolaj Coster-Waldau Gerard Butler Courtney Eaton Elodie Yung
10048,Stealth,Rob Cohen,Josh Lucas Jessica Biel Jamie Foxx Sam Shepard Richard Roxburgh
13183,Watchmen,Zack Snyder,Malin Åkerman Billy Crudup Carla Gugino Jeffrey Dean Morgan Patrick Wilson
944,Lethal Weapon 4,Richard Donner,Mel Gibson Danny Glover Joe Pesci Rene Russo Jet Li
1927,Hulk,Ang Lee,Eric Bana Jennifer Connelly Sam Elliott Josh Lucas Nick Nolte
72559,G.I. Joe: Retaliation,Jon M. Chu,Dwayne Johnson D.J. Cotrona Adrianne Palicki Bruce Willis Ray Park
7364,Sahara,Breck Eisner,Matthew McConaughey Penélope Cruz Steve Zahn William H. Macy Lennie James
2114,Final Fantasy: The Spirits Within,Hironobu Sakaguchi,Donald Sutherland Ming-Na Wen Alec Baldwin Ving Rhames Steve Buscemi
1771,Captain America: The First Avenger,Joe Johnston,Chris Evans Hugo Weaving Tommy Lee Jones Hayley Atwell Sebastian Stan
36643,The World Is Not Enough,Michael Apted,Pierce Brosnan Sophie Marceau Robert Carlyle Denise Richards Robbie Coltrane
8619,Master and Commander: The Far Side of the World,Peter Weir,Russell Crowe Paul Bettany James D'Arcy Billy Boyd Joseph Morgan
50620,The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,Kristen Stewart Robert Pattinson Taylor Lautner Peter Facinelli Elizabeth Reaser
65759,Happy Feet Two,George Miller,Elijah Wood Robin Williams Pink E.G. Daily Johnny A. Sanchez
1724,The Incredible Hulk,Louis Leterrier,Edward Norton Liv Tyler Tim Roth William Hurt Tim Blake Nelson
267935,The BFG,Steven Spielberg,Ruby Barnhill Mark Rylance Rebecca Hall Jemaine Clement Bill Hader
281957,The Revenant,Alejandro González Iñárritu,Leonardo DiCaprio Tom Hardy Will Poulter Domhnall Gleeson Paul Anderson
77950,Turbo,David Soren,Ryan Reynolds Paul Giamatti Michael Peña Samuel L. Jackson Luis Guzmán
44896,Rango,Gore Verbinski,Johnny Depp Isla Fisher Ned Beatty Bill Nighy Alfred Molina
270946,Penguins of Madagascar,Eric Darnell,Tom McGrath Chris Miller Christopher Knights Conrad Vernon John Malkovich
2503,The Bourne Ultimatum,Paul Greengrass,Matt Damon Julia Stiles David Strathairn Scott Glenn Paddy Considine
9502,Kung Fu Panda,Mark Osborne,Jack Black Dustin Hoffman Angelina Jolie Jackie Chan Lucy Liu
102899,Ant-Man,Peyton Reed,Paul Rudd Michael Douglas Evangeline Lilly Corey Stoll Bobby Cannavale
101299,The Hunger Games: Catching Fire,Francis Lawrence,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks
228161,Home,Tim Johnson,Jim Parsons Rihanna Steve Martin Jennifer Lopez Matt Jones
74,War of the Worlds,Steven Spielberg,Tom Cruise Dakota Fanning Miranda Otto Justin Chatwin Tim Robbins
8961,Bad Boys II,Michael Bay,Martin Lawrence Will Smith Jordi Mollà Gabrielle Union Peter Stormare
417859,Puss in Boots,Chris Miller,Antonio Banderas Salma Hayek Zach Galifianakis Billy Bob Thornton Amy Sedaris
27576,Salt,Phillip Noyce,Angelina Jolie Liev Schreiber Chiwetel Ejiofor Daniel Olbrychski August Diehl
86834,Noah,Darren Aronofsky,Russell Crowe Jennifer Connelly Emma Watson Logan Lerman Anthony Hopkins
17578,The Adventures of Tintin,Steven Spielberg,Jamie Bell Andy Serkis Daniel Craig Nick Frost Simon Pegg
673,Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,Daniel Radcliffe Rupert Grint Emma Watson Gary Oldman David Thewlis
6972,Australia,Baz Luhrmann,Nicole Kidman Hugh Jackman Essie Davis David Wenham Bryan Brown
82700,After Earth,M. Night Shyamalan,Jaden Smith Will Smith Sophie Okonedo Zoë Kravitz Glenn Morshower
10567,Dinosaur,Ralph Zondag,D. B. Sweeney Alfre Woodard Ossie Davis Max Casella Hayden Panettiere
181533,Night at the Museum: Secret of the Tomb,Shawn Levy,Ben Stiller Rami Malek Rebel Wilson Robin Williams Owen Wilson
38055,Megamind,Tom McGrath,Will Ferrell Brad Pitt Tina Fey Jonah Hill David Cross
671,Harry Potter and the Philosopher's Stone,Chris Columbus,Daniel Radcliffe Rupert Grint Emma Watson Richard Harris Tom Felton
49524,R.I.P.D.,Robert Schwentke,Jeff Bridges Ryan Reynolds Kevin Bacon Stephanie Szostak Mary-Louise Parker
22,Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,Johnny Depp Geoffrey Rush Orlando Bloom Keira Knightley Jack Davenport
131631,The Hunger Games: Mockingjay - Part 1,Francis Lawrence,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Donald Sutherland
591,The Da Vinci Code,Ron Howard,Tom Hanks Audrey Tautou Ian McKellen Paul Bettany Jean Reno
172385,Rio 2,Carlos Saldanha,Jesse Eisenberg Anne Hathaway Leslie Mann Jamie Foxx Andy García
36658,X2,Bryan Singer,Patrick Stewart Hugh Jackman Ian McKellen Halle Berry Famke Janssen
51497,Fast Five,Justin Lin,Vin Diesel Paul Walker Jordana Brewster Tyrese Gibson Ludacris
58574,Sherlock Holmes: A Game of Shadows,Guy Ritchie,Robert Downey Jr. Jude Law Jared Harris Noomi Rapace Kelly Reilly
18823,Clash of the Titans,Louis Leterrier,Sam Worthington Liam Neeson Ralph Fiennes Gemma Arterton Jason Flemyng
861,Total Recall,Paul Verhoeven,Arnold Schwarzenegger Sharon Stone Rachel Ticotin Ronny Cox Michael Ironside
1911,The 13th Warrior,John McTiernan,Antonio Banderas Vladimir Kulich Dennis Storhøi Daniel Southern Clive Russell
49040,The Bourne Legacy,Tony Gilroy,Jeremy Renner Rachel Weisz Edward Norton Scott Glenn Stacy Keach
415,Batman & Robin,Joel Schumacher,George Clooney Chris O'Donnell Arnold Schwarzenegger Uma Thurman Alicia Silverstone
8871,How the Grinch Stole Christmas,Ron Howard,Jim Carrey Taylor Momsen Jeffrey Tambor Christine Baranski Bill Irwin
435,The Day After Tomorrow,Roland Emmerich,Dennis Quaid Jake Gyllenhaal Emmy Rossum Dash Mihok Jay O. Sanders
955,Mission: Impossible II,John Woo,Tom Cruise Dougray Scott Thandie Newton Ving Rhames Richard Roxburgh
2133,The Perfect Storm,Wolfgang Petersen,George Clooney Mark Wahlberg Diane Lane John C. Reilly William Fichtner
1979,Fantastic 4: Rise of the Silver Surfer,Tim Story,Ioan Gruffudd Jessica Alba Chris Evans Michael Chiklis Julian McMahon
87827,Life of Pi,Ang Lee,Suraj Sharma Irrfan Khan Ayush Tandon Gautam Belur Adil Hussain
1250,Ghost Rider,Mark Steven Johnson,Nicolas Cage Eva Mendes Wes Bentley Donal Logue Sam Elliott
324668,Jason Bourne,Paul Greengrass,Matt Damon Alicia Vikander Tommy Lee Jones Vincent Cassel Julia Stiles
9471,Charlie's Angels: Full Throttle,McG,Cameron Diaz Drew Barrymore Lucy Liu Bernie Mac Robert Patrick
70981,Prometheus,Ridley Scott,Noomi Rapace Michael Fassbender Guy Pearce Idris Elba Logan Marshall-Green
10996,Stuart Little 2,Rob Minkoff,Michael J. Fox Geena Davis Hugh Laurie Jonathan Lipnicki Anna Hoelck
68724,Elysium,Neill Blomkamp,Matt Damon Jodie Foster Sharlto Copley Alice Braga Diego Luna
2789,The Chronicles of Riddick,David Twohy,Vin Diesel Thandie Newton Karl Urban Colm Feore Linus Roache
97020,RoboCop,José Padilha,Joel Kinnaman Gary Oldman Michael Keaton Abbie Cornish Jackie Earle Haley
7459,Speed Racer,Lilly Wachowski,Emile Hirsch Christina Ricci Matthew Fox Susan Sarandon Scott Porter
42888,How Do You Know,James L. Brooks,Reese Witherspoon Paul Rudd Owen Wilson Jack Nicholson Kathryn Hahn
37834,Knight and Day,James Mangold,Tom Cruise Cameron Diaz Peter Sarsgaard Viola Davis Jordi Mollà
75612,Oblivion,Joseph Kosinski,Tom Cruise Morgan Freeman Olga Kurylenko Andrea Riseborough Nikolaj Coster-Waldau
1895,Star Wars: Episode III - Revenge of the Sith,George Lucas,Ewan McGregor Natalie Portman Hayden Christensen Ian McDiarmid Samuel L. Jackson
1894,Star Wars: Episode II - Attack of the Clones,George Lucas,Ewan McGregor Natalie Portman Hayden Christensen Ian McDiarmid Samuel L. Jackson
